pSize: 1, PSNR: 9.964884908828509, SSIM: 29.175831848086272, VIF: 3.4088810213958487
pSize: 2, PSNR: 19.770841380158487, SSIM: 34.68596070942429, VIF: 91.101048033449
pSize: 3, PSNR: 10.607943079981169, SSIM: 14.699159006927358, VIF: 2.6372791033302034
pSize: 4, PSNR: 45.557717406005885, SSIM: 1.2600161227377704, VIF: 76.94756697266094
pSize: 5, PSNR: 35.95020980115079, SSIM: 11.344851705767326, VIF: 11.88723228889742
pSize: 6, PSNR: 38.303966978250074, SSIM: 20.7749097188133, VIF: 65.29177357007686
pSize: 7, PSNR: 19.514455282950998, SSIM: 4.384475965695862, VIF: 44.98612014823993
pSize: 8, PSNR: 25.29536338511054, SSIM: 24.72407522784706, VIF: 21.610176970923035
pSize: 9, PSNR: 10.955015324445993, SSIM: 1.6682804434946208, VIF: 54.84915922417105
pSize: 10, PSNR: 13.333057039264201, SSIM: 30.70599588048497, VIF: 7.761170651067606
pSize: 11, PSNR: 37.542935214964096, SSIM: 10.035814936862533, VIF: 16.755339312431072
pSize: 12, PSNR: 15.749083217990634, SSIM: 24.51372289055144, VIF: 85.18737895774511
pSize: 13, PSNR: 6.355311675989295, SSIM: 5.680303871575556, VIF: 59.86141034015059
pSize: 14, PSNR: 18.401649092598287, SSIM: 27.92267765970402, VIF: 63.722823991520606
pSize: 15, PSNR: 29.31932682518555, SSIM: 33.40061093287099, VIF: 95.08743250710864
pSize: 16, PSNR: 6.45419493170008, SSIM: 32.764116342366414, VIF: 80.18894837642443
pSize: 17, PSNR: 34.561607634905116, SSIM: 7.20591551494671, VIF: 17.632131553422482
pSize: 18, PSNR: 4.947027743791649, SSIM: 13.93786259466272, VIF: 5.503366256926945
pSize: 19, PSNR: 1.0498027006452137, SSIM: 39.31110205481027, VIF: 86.93653881492564
pSize: 20, PSNR: 31.02080497637518, SSIM: 5.503151484907893, VIF: 34.88120551855215
pSize: 21, PSNR: 4.968329108389829, SSIM: 30.70240070243436, VIF: 65.20941880225017
pSize: 22, PSNR: 26.122660160651908, SSIM: 33.76172409426183, VIF: 78.36917540009114
pSize: 23, PSNR: 40.577745767526466, SSIM: 24.741345548701723, VIF: 38.3584743079724
pSize: 24, PSNR: 18.02957140076667, SSIM: 29.401266670192683, VIF: 71.39679466951478
pSize: 25, PSNR: 32.38928539305388, SSIM: 19.175613623651678, VIF: 79.51363655127275
pSize: 26, PSNR: 19.82151212460564, SSIM: 39.657927532536355, VIF: 53.925540746099244
pSize: 27, PSNR: 19.478803086319047, SSIM: 24.07300692518172, VIF: 63.181909367356106
pSize: 28, PSNR: 42.744910272635956, SSIM: 1.7665255280630232, VIF: 98.72917269394198
pSize: 29, PSNR: 47.04613143394565, SSIM: 9.09460018571738, VIF: 80.92268689625266
pSize: 30, PSNR: 10.785826109710705, SSIM: 39.035983885725194, VIF: 30.563057924507262
pSize: 31, PSNR: 39.98108111557717, SSIM: 13.532635616717261, VIF: 19.526801806101947
pSize: 32, PSNR: 23.7787509119465, SSIM: 9.930851517735292, VIF: 61.81076713390395
pSize: 33, PSNR: 12.346217542515742, SSIM: 1.56459255283107, VIF: 51.94093775554015
pSize: 34, PSNR: 14.608348770531009, SSIM: 32.79877081807821, VIF: 35.55402547111319
pSize: 35, PSNR: 26.633203157762527, SSIM: 35.70409117855881, VIF: 59.500742754402324
pSize: 36, PSNR: 5.50976327983958, SSIM: 18.000478150553683, VIF: 54.337049540601434
pSize: 37, PSNR: 32.36135493368021, SSIM: 33.653285062975506, VIF: 43.63951306666705
pSize: 38, PSNR: 20.537707239970555, SSIM: 10.81444489709491, VIF: 71.61153121063529
pSize: 39, PSNR: 38.87941770685692, SSIM: 14.926087051868855, VIF: 40.13257024789208
pSize: 40, PSNR: 3.4866307663100784, SSIM: 15.183277959401753, VIF: 90.97544143064574
pSize: 41, PSNR: 9.940505158731133, SSIM: 19.991479389062054, VIF: 99.83209001072021
pSize: 42, PSNR: 39.77198502214973, SSIM: 28.13035834026476, VIF: 71.41852645812446
pSize: 43, PSNR: 7.438284430982323, SSIM: 4.059076035637066, VIF: 53.79482348070192
pSize: 44, PSNR: 14.001967651365016, SSIM: 20.1783474637492, VIF: 55.33904236689744
pSize: 45, PSNR: 19.556446059228023, SSIM: 24.17499426927678, VIF: 96.53170154503688
pSize: 46, PSNR: 49.73557437679056, SSIM: 24.395079995032702, VIF: 88.57618267814529
pSize: 47, PSNR: 34.36194084476662, SSIM: 12.007978396484212, VIF: 15.810175735753184
pSize: 48, PSNR: 46.21332668505726, SSIM: 22.831556328904465, VIF: 82.23228810493329
pSize: 49, PSNR: 49.43748234545715, SSIM: 37.82352919166512, VIF: 45.048165909328105
pSize: 50, PSNR: 48.465862223393, SSIM: 6.369522568875476, VIF: 15.014759501136421
